Index,UTC,Lat,Lon,Alt (MSL),Alt (HAE),HDOP,VDOP,SVs Used,Speed,Fix type (GPS) valid,DGPS,Fix type (GPS),SV R27 Doppler (L1OF)
164,19:48:18.000 08/02/2024,41.88720883,-87.65901550,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
165,19:48:19.000 08/02/2024,41.88720917,-87.65901517,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
166,19:48:20.000 08/02/2024,41.88720967,-87.65901500,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
167,19:48:21.000 08/02/2024,41.88721233,-87.65901467,182.100,148.300,0.9,1.6,14,,Yes,No,3D,0.00
168,19:48:22.000 08/02/2024,41.88721300,-87.65901550,182.300,148.500,0.9,1.6,14,,Yes,No,3D,0.00
169,19:48:23.000 08/02/2024,41.88721817,-87.65901750,182.800,149.000,0.9,1.6,14,,Yes,No,3D,0.00
170,19:48:24.000 08/02/2024,41.88722550,-87.65902000,183.100,149.300,0.9,1.6,14,,Yes,No,3D,0.00
171,19:48:25.000 08/02/2024,41.88723433,-87.65902200,183.200,149.400,0.9,1.6,14,,Yes,No,3D,0.00
172,19:48:26.000 08/02/2024,41.88724150,-87.65902533,183.400,149.600,0.9,1.6,14,,Yes,No,3D,0.00
173,19:48:27.000 08/02/2024,41.88724667,-87.65902633,183.500,149.700,0.9,1.6,14,,Yes,No,3D,0.00
174,19:48:28.000 08/02/2024,41.88724900,-87.65902700,183.600,149.800,0.9,1.6,14,,Yes,No,3D,0.00
175,19:48:29.000 08/02/2024,41.88725017,-87.65902783,183.500,149.700,0.9,1.6,14,,Yes,No,3D,0.00
176,19:48:30.000 08/02/2024,41.88725067,-87.65902683,183.200,149.400,0.9,1.6,14,,Yes,No,3D,0.00
177,19:48:31.000 08/02/2024,41.88724950,-87.65902550,183.200,149.400,0.9,1.6,14,,Yes,No,3D,0.00
178,19:48:32.000 08/02/2024,41.88724883,-87.65902533,183.200,149.400,0.9,1.6,14,,Yes,No,3D,0.00
179,19:48:33.000 08/02/2024,41.88724800,-87.65902500,183.100,149.300,0.9,1.6,14,,Yes,No,3D,0.00
180,19:48:34.000 08/02/2024,41.88724733,-87.65902600,183.100,149.300,0.9,1.6,14,,Yes,No,3D,0.00
181,19:48:35.000 08/02/2024,41.88724683,-87.65902817,183.000,149.200,0.9,1.6,14,,Yes,No,3D,0.00
182,19:48:36.000 08/02/2024,41.88724567,-87.65902850,182.900,149.100,0.9,1.6,14,,Yes,No,3D,0.00
183,19:48:37.000 08/02/2024,41.88724450,-87.65902800,182.800,149.000,0.9,1.6,14,,Yes,No,3D,0.00
184,19:48:38.000 08/02/2024,41.88724350,-87.65902767,182.700,148.900,0.9,1.6,14,,Yes,No,3D,0.00
185,19:48:39.000 08/02/2024,41.88724300,-87.65902750,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
186,19:48:40.000 08/02/2024,41.88724267,-87.65902733,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
187,19:48:41.000 08/02/2024,41.88724233,-87.65902767,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
188,19:48:42.000 08/02/2024,41.88724200,-87.65902767,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
189,19:48:43.000 08/02/2024,41.88724183,-87.65902700,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
190,19:48:44.000 08/02/2024,41.88724200,-87.65902750,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
191,19:48:45.000 08/02/2024,41.88724217,-87.65902767,182.900,149.100,0.9,1.6,15,,Yes,No,3D,0.00
192,19:48:46.000 08/02/2024,41.88724250,-87.65902767,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
193,19:48:47.000 08/02/2024,41.88724433,-87.65902700,182.800,149.000,0.9,1.6,15,,Yes,No,3D,0.00
194,19:48:48.000 08/02/2024,41.88724883,-87.65902667,182.800,149.000,0.9,1.6,16,,Yes,No,3D,0.00
195,19:48:49.000 08/02/2024,41.88725533,-87.65902550,182.800,149.000,0.9,1.6,16,,Yes,No,3D,0.00
196,19:48:50.000 08/02/2024,41.88726533,-87.65902517,182.900,149.100,0.9,1.6,16,,Yes,No,3D,0.00
197,19:48:51.000 08/02/2024,41.88727517,-87.65902517,182.900,149.100,0.9,1.6,16,,Yes,No,3D,0.00
198,19:48:52.000 08/02/2024,41.88728533,-87.65902617,183.000,149.200,0.9,1.4,16,,Yes,No,3D,0.00
199,19:48:53.000 08/02/2024,41.88729533,-87.65902800,183.000,149.200,0.9,1.4,16,,Yes,No,3D,0.00
200,19:48:54.000 08/02/2024,41.88730533,-87.65902867,183.000,149.200,0.9,1.4,16,,Yes,No,3D,0.00
201,19:48:55.000 08/02/2024,41.88731600,-87.65902800,183.000,149.200,0.9,1.4,16,,Yes,No,3D,0.00
202,19:48:56.000 08/02/2024,41.88732617,-87.65902583,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
203,19:48:57.000 08/02/2024,41.88733383,-87.65902000,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
204,19:48:58.000 08/02/2024,41.88733733,-87.65901567,183.100,149.300,0.9,1.4,16,,Yes,Yes,3D,0.00
205,19:48:59.000 08/02/2024,41.88733833,-87.65901367,183.100,149.300,0.9,1.4,16,,Yes,Yes,3D,0.00
206,19:49:00.000 08/02/2024,41.88733783,-87.65901250,183.200,149.400,0.9,1.4,16,,Yes,No,3D,0.00
207,19:49:01.000 08/02/2024,41.88733700,-87.65901050,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
208,19:49:02.000 08/02/2024,41.88733717,-87.65900617,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
209,19:49:03.000 08/02/2024,41.88733850,-87.65900100,183.100,149.300,0.9,1.4,16,,Yes,No,3D,0.00
210,19:49:04.000 08/02/2024,41.88733783,-87.65899500,183.000,149.200,0.9,1.4,16,,Yes,Yes,3D,0.00
211,19:49:05.000 08/02/2024,41.88733867,-87.65898867,183.000,149.200,0.9,1.4,16,,Yes,Yes,3D,0.00
212,19:49:06.000 08/02/2024,41.88734050,-87.65897933,183.200,149.400,0.9,1.4,16,,Yes,Yes,3D,0.00
213,19:49:07.000 08/02/2024,41.88734133,-87.65896950,183.600,149.800,0.9,1.4,16,,Yes,Yes,3D,0.00
214,19:49:08.000 08/02/2024,41.88734217,-87.65895850,183.600,149.800,0.9,1.4,16,,Yes,Yes,3D,0.00
215,19:49:09.000 08/02/2024,41.88734333,-87.65894533,183.500,149.700,0.9,1.4,16,,Yes,No,3D,0.00
216,19:49:10.000 08/02/2024,41.88734733,-87.65893367,183.400,149.600,0.9,1.4,16,,Yes,Yes,3D,0.00
217,19:49:11.000 08/02/2024,41.88735583,-87.65892350,183.400,149.600,0.9,1.4,16,,Yes,Yes,3D,0.00
218,19:49:12.000 08/02/2024,41.88736450,-87.65891000,183.500,149.700,0.9,1.4,16,,Yes,No,3D,0.00
219,19:49:13.000 08/02/2024,41.88737267,-87.65889633,183.500,149.700,0.9,1.4,16,,Yes,Yes,3D,0.00
220,19:49:14.000 08/02/2024,41.88738100,-87.65888567,183.400,149.600,0.9,1.5,16,,Yes,Yes,3D,0.00
221,19:49:15.000 08/02/2024,41.88738650,-87.65887833,183.400,149.600,0.9,1.5,16,,Yes,No,3D,0.00
222,19:49:16.000 08/02/2024,41.88739267,-87.65887383,183.700,149.900,0.9,1.4,16,,Yes,No,3D,0.00
223,19:49:17.000 08/02/2024,41.88740017,-87.65887833,183.500,149.700,0.9,1.6,16,,Yes,No,3D,0.00
224,19:49:18.000 08/02/2024,41.88740767,-87.65888983,183.300,149.500,0.9,1.6,17,,Yes,No,3D,0.00
225,19:49:19.000 08/02/2024,41.88741200,-87.65890467,183.200,149.400,0.9,1.4,17,,Yes,No,3D,0.00
226,19:49:20.000 08/02/2024,41.88741317,-87.65892167,183.200,149.400,0.9,1.5,17,,Yes,No,3D,0.00
227,19:49:21.000 08/02/2024,41.88741217,-87.65893733,183.300,149.500,0.8,1.4,17,,Yes,No,3D,0.00
228,19:49:22.000 08/02/2024,41.88740967,-87.65895067,183.200,149.400,0.8,1.4,17,,Yes,No,3D,0.00
229,19:49:23.000 08/02/2024,41.88740667,-87.65896167,183.400,149.600,0.8,1.3,17,,Yes,No,3D,0.00
230,19:49:24.000 08/02/2024,41.88740317,-87.65897300,183.500,149.700,0.8,1.3,17,,Yes,No,3D,0.00
231,19:49:25.000 08/02/2024,41.88740083,-87.65898650,183.700,149.900,0.8,1.4,17,,Yes,No,3D,0.00
232,19:49:26.000 08/02/2024,41.88740067,-87.65900150,183.500,149.700,0.8,1.3,17,,Yes,No,3D,0.00
233,19:49:27.000 08/02/2024,41.88740333,-87.65901400,183.500,149.700,0.8,1.3,17,,Yes,No,3D,0.00
234,19:49:28.000 08/02/2024,41.88741067,-87.65902133,183.500,149.700,0.8,1.3,17,,Yes,No,3D,0.00
235,19:49:29.000 08/02/2024,41.88742050,-87.65902467,183.600,149.800,0.8,1.3,17,,Yes,No,3D,0.00
236,19:49:30.000 08/02/2024,41.88743100,-87.65902750,183.600,149.800,0.8,1.3,17,,Yes,No,3D,0.00
237,19:49:31.000 08/02/2024,41.88744117,-87.65902867,183.600,149.800,0.9,1.4,14,,Yes,No,3D,0.00
238,19:49:32.000 08/02/2024,41.88745117,-87.65902817,183.500,149.700,0.9,1.4,14,,Yes,No,3D,0.00
239,19:49:33.000 08/02/2024,41.88746100,-87.65902800,183.400,149.600,0.9,1.3,15,,Yes,No,3D,0.00
240,19:49:34.000 08/02/2024,41.88747083,-87.65902683,183.200,149.400,0.9,1.4,14,,Yes,No,3D,0.00
241,19:49:35.000 08/02/2024,41.88748100,-87.65902700,183.300,149.500,0.9,1.4,16,,Yes,No,3D,0.00
242,19:49:36.000 08/02/2024,41.88749117,-87.65902767,183.200,149.400,0.9,1.4,16,,Yes,No,3D,0.00
243,19:49:37.000 08/02/2024,41.88750133,-87.65902817,183.200,149.400,0.9,1.4,16,,Yes,No,3D,0.00
244,19:49:38.000 08/02/2024,41.88751217,-87.65902900,183.100,149.300,1.0,1.6,15,,Yes,No,3D,0.00
245,19:49:39.000 08/02/2024,41.88752283,-87.65902967,182.900,149.100,1.0,1.6,15,,Yes,No,3D,0.00
246,19:49:40.000 08/02/2024,41.88753383,-87.65903067,182.900,149.100,1.0,1.6,15,,Yes,No,3D,0.00
247,19:49:41.000 08/02/2024,41.88754483,-87.65903117,182.900,149.100,1.0,1.6,15,,Yes,No,3D,0.00
248,19:49:42.000 08/02/2024,41.88755583,-87.65903083,182.900,149.100,1.0,1.6,15,,Yes,No,3D,0.00
