Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,Fix type (GPS),Fix type (GPS) valid,PACC H,PACC V,PACC 3D,EDOP,NDOP,VDOP,GDOP,DGPS,SVs Used,Carrier Range Status
19,15:49:47.000 08/16/2024,42.09789150,-87.82833533,159.200,1.2,0.8,3D,Yes,0.138,0.195,0.239,,,0.9,,Yes,29,1
20,15:49:48.000 08/16/2024,42.09789150,-87.82833550,159.200,1.2,0.8,3D,Yes,0.138,0.195,0.239,,,0.9,,Yes,29,1
21,15:49:49.000 08/16/2024,42.09789150,-87.82833550,159.200,1.2,0.8,3D,Yes,0.138,0.194,0.238,,,0.9,,Yes,29,1
22,15:49:50.000 08/16/2024,42.09789150,-87.82833583,159.100,1.2,0.8,3D,Yes,0.131,0.178,0.221,,,0.9,,Yes,29,1
23,15:49:51.000 08/16/2024,42.09789150,-87.82833583,159.000,1.2,0.8,3D,Yes,0.133,0.187,0.229,,,0.9,,Yes,29,1
24,15:49:52.000 08/16/2024,42.09789133,-87.82833583,159.000,1.2,0.8,3D,Yes,0.134,0.190,0.232,,,0.9,,Yes,29,1
25,15:49:53.000 08/16/2024,42.09789150,-87.82833567,159.100,1.2,0.8,3D,Yes,0.133,0.190,0.232,,,0.9,,Yes,29,1
26,15:49:54.000 08/16/2024,42.09789150,-87.82833533,159.100,1.2,0.8,3D,Yes,0.133,0.189,0.231,,,0.9,,Yes,29,1
27,15:49:55.000 08/16/2024,42.09789167,-87.82833517,159.100,1.2,0.8,3D,Yes,0.133,0.189,0.231,,,0.9,,Yes,29,1
28,15:49:56.000 08/16/2024,42.09789150,-87.82833483,159.100,1.2,0.8,3D,Yes,0.127,0.173,0.215,,,0.9,,Yes,29,1
29,15:49:57.000 08/16/2024,42.09789150,-87.82833467,159.100,1.2,0.8,3D,Yes,0.131,0.184,0.226,,,0.9,,Yes,29,1
30,15:49:58.000 08/16/2024,42.09789150,-87.82833450,159.200,1.2,0.8,3D,Yes,0.126,0.171,0.212,,,0.9,,Yes,29,1
31,15:49:59.000 08/16/2024,42.09789133,-87.82833417,159.200,1.2,0.8,3D,Yes,0.137,0.198,0.241,,,0.9,,Yes,29,1
32,15:50:00.000 08/16/2024,42.09789117,-87.82833400,159.200,1.2,0.8,3D,Yes,0.131,0.190,0.231,,,0.9,,Yes,29,1
33,15:50:01.000 08/16/2024,42.09789117,-87.82833367,159.200,1.2,0.8,3D,Yes,0.130,0.187,0.228,,,0.9,,Yes,29,1
34,15:50:02.000 08/16/2024,42.09789117,-87.82833350,159.200,1.2,0.8,3D,Yes,0.130,0.185,0.226,,,0.9,,Yes,29,1
35,15:50:03.000 08/16/2024,42.09789133,-87.82833300,159.200,1.2,0.8,3D,Yes,0.124,0.169,0.210,,,0.9,,Yes,29,1
36,15:50:04.000 08/16/2024,42.09789117,-87.82833267,159.200,1.2,0.8,3D,Yes,0.127,0.180,0.220,,,0.9,,Yes,29,1
37,15:50:05.000 08/16/2024,42.09789117,-87.82833233,159.200,1.2,0.8,3D,Yes,0.124,0.169,0.210,,,0.9,,Yes,29,1
38,15:50:06.000 08/16/2024,42.09789117,-87.82833233,159.200,1.2,0.8,3D,Yes,0.123,0.166,0.207,,,0.9,,Yes,29,1
39,15:50:07.000 08/16/2024,42.09789117,-87.82833217,159.200,1.2,0.8,3D,Yes,0.129,0.180,0.221,,,0.9,,Yes,29,1
40,15:50:08.000 08/16/2024,42.09789117,-87.82833200,159.200,1.2,0.8,3D,Yes,0.127,0.182,0.222,,,0.9,,Yes,29,1
41,15:50:09.000 08/16/2024,42.09789100,-87.82833200,159.200,1.2,0.8,3D,Yes,0.127,0.181,0.221,,,0.9,,Yes,29,1
42,15:50:10.000 08/16/2024,42.09789100,-87.82833183,159.200,1.2,0.8,3D,Yes,0.122,0.166,0.206,,,0.9,,Yes,29,1
43,15:50:11.000 08/16/2024,42.09789083,-87.82833167,159.200,1.2,0.8,3D,Yes,0.124,0.176,0.215,,,0.9,,Yes,29,1
44,15:50:12.000 08/16/2024,42.09789083,-87.82833167,159.200,1.2,0.8,3D,Yes,0.121,0.165,0.205,,,0.9,,Yes,29,1
45,15:50:13.000 08/16/2024,42.09789067,-87.82833183,159.200,1.2,0.8,3D,Yes,0.125,0.177,0.217,,,0.9,,Yes,29,1
46,15:50:14.000 08/16/2024,42.09789067,-87.82833183,159.200,1.2,0.8,3D,Yes,0.123,0.165,0.206,,,0.9,,Yes,29,1
47,15:50:15.000 08/16/2024,42.09789050,-87.82833200,159.200,1.2,0.8,3D,Yes,0.121,0.175,0.213,,,0.9,,Yes,29,1
48,15:50:16.000 08/16/2024,42.09789033,-87.82833200,159.200,1.2,0.8,3D,Yes,0.120,0.164,0.203,,,0.9,,Yes,29,1
49,15:50:17.000 08/16/2024,42.09789033,-87.82833217,159.200,1.2,0.8,3D,Yes,0.121,0.173,0.211,,,0.9,,Yes,29,1
50,15:50:18.000 08/16/2024,42.09789033,-87.82833217,159.200,1.2,0.8,3D,Yes,0.129,0.188,0.228,,,0.9,,Yes,29,1
51,15:50:19.000 08/16/2024,42.09789000,-87.82833233,159.300,1.2,0.8,3D,Yes,0.133,0.184,0.227,,,0.9,,Yes,29,1
52,15:50:20.000 08/16/2024,42.09788650,-87.82833050,160.000,1.2,0.8,3D,Yes,0.152,0.198,0.250,,,0.9,,Yes,28,1
53,15:50:21.000 08/16/2024,42.09787950,-87.82833017,160.400,1.2,0.8,3D,Yes,0.175,0.305,0.352,,,0.9,,Yes,29,1
54,15:50:22.000 08/16/2024,42.09787267,-87.82833433,160.500,1.2,0.8,3D,Yes,0.161,0.329,0.366,,,0.9,,Yes,29,1
55,15:50:23.000 08/16/2024,42.09786833,-87.82834450,160.500,1.2,0.8,3D,Yes,0.131,0.181,0.223,,,0.9,,Yes,29,1
56,15:50:24.000 08/16/2024,42.09786733,-87.82835767,160.500,1.2,0.8,3D,Yes,0.133,0.188,0.230,,,0.9,,Yes,28,1
57,15:50:25.000 08/16/2024,42.09786883,-87.82837183,160.500,1.2,0.8,3D,Yes,0.135,0.190,0.233,,,0.9,,Yes,28,1
58,15:50:26.000 08/16/2024,42.09787233,-87.82838483,160.500,1.2,0.8,3D,Yes,0.134,0.189,0.232,,,0.9,,Yes,28,1
59,15:50:27.000 08/16/2024,42.09787900,-87.82839533,160.200,1.2,0.8,3D,Yes,0.144,0.197,0.244,,,0.9,,Yes,27,1
60,15:50:28.000 08/16/2024,42.09788333,-87.82839900,159.700,1.3,0.8,3D,Yes,0.153,0.250,0.293,,,1.0,,Yes,27,1
61,15:50:29.000 08/16/2024,42.09788367,-87.82839833,159.500,1.3,0.8,3D,Yes,0.165,0.353,0.390,,,1.0,,Yes,27,1
62,15:50:30.000 08/16/2024,42.09788367,-87.82839817,159.300,1.2,0.8,3D,Yes,0.177,0.410,0.447,,,0.9,,Yes,27,1
63,15:50:31.000 08/16/2024,42.09788350,-87.82839783,159.300,1.2,0.8,3D,Yes,0.145,0.282,0.317,,,0.9,,Yes,28,1
64,15:50:32.000 08/16/2024,42.09788350,-87.82839800,159.300,1.2,0.8,3D,Yes,0.125,0.187,0.225,,,0.9,,Yes,28,1
65,15:50:33.000 08/16/2024,42.09788350,-87.82839800,159.300,1.2,0.8,3D,Yes,0.122,0.172,0.211,,,0.9,,Yes,28,1
66,15:50:34.000 08/16/2024,42.09788333,-87.82839817,159.400,1.2,0.8,3D,Yes,0.121,0.170,0.209,,,0.9,,Yes,29,1
67,15:50:35.000 08/16/2024,42.09788333,-87.82839817,159.400,1.2,0.8,3D,Yes,0.125,0.177,0.217,,,0.9,,Yes,29,1
68,15:50:36.000 08/16/2024,42.09788333,-87.82839817,159.400,1.2,0.8,3D,Yes,0.122,0.172,0.211,,,0.9,,Yes,29,1
69,15:50:37.000 08/16/2024,42.09788317,-87.82839817,159.400,1.2,0.8,3D,Yes,0.121,0.171,0.209,,,0.9,,Yes,29,1
70,15:50:38.000 08/16/2024,42.09788300,-87.82839833,159.400,1.2,0.8,3D,Yes,0.127,0.186,0.225,,,0.9,,Yes,29,1
71,15:50:39.000 08/16/2024,42.09788283,-87.82839850,159.400,1.2,0.8,3D,Yes,0.121,0.173,0.211,,,0.9,,Yes,29,1
72,15:50:40.000 08/16/2024,42.09788283,-87.82839867,159.400,1.2,0.8,3D,Yes,0.120,0.170,0.208,,,0.9,,Yes,29,1
73,15:50:41.000 08/16/2024,42.09788283,-87.82839867,159.400,1.2,0.8,3D,Yes,0.123,0.173,0.212,,,0.9,,Yes,29,1
74,15:50:42.000 08/16/2024,42.09788283,-87.82839883,159.400,1.2,0.8,3D,Yes,0.122,0.165,0.205,,,0.9,,Yes,29,1
75,15:50:43.000 08/16/2024,42.09788283,-87.82839900,159.400,1.2,0.8,3D,Yes,0.121,0.163,0.203,,,0.9,,Yes,29,1
76,15:50:44.000 08/16/2024,42.09788267,-87.82839900,159.500,1.2,0.8,3D,Yes,0.121,0.163,0.203,,,0.9,,Yes,29,1
77,15:50:45.000 08/16/2024,42.09788267,-87.82839917,159.500,1.2,0.8,3D,Yes,0.123,0.171,0.211,,,0.9,,Yes,29,1
78,15:50:46.000 08/16/2024,42.09788267,-87.82839917,159.500,1.2,0.8,3D,Yes,0.121,0.165,0.205,,,0.9,,Yes,29,1
79,15:50:47.000 08/16/2024,42.09788267,-87.82839917,159.500,1.2,0.8,3D,Yes,0.121,0.163,0.203,,,0.9,,Yes,29,1
80,15:50:48.000 08/16/2024,42.09788267,-87.82839933,159.500,1.2,0.8,3D,Yes,0.121,0.163,0.203,,,0.9,,Yes,29,1
81,15:50:49.000 08/16/2024,42.09788250,-87.82839950,159.500,1.2,0.8,3D,Yes,0.121,0.163,0.203,,,0.9,,Yes,29,1
82,15:50:50.000 08/16/2024,42.09788250,-87.82839950,159.500,1.2,0.8,3D,Yes,0.121,0.163,0.203,,,0.9,,Yes,29,1
83,15:50:51.000 08/16/2024,42.09788250,-87.82839950,159.400,1.2,0.8,3D,Yes,0.122,0.172,0.211,,,0.9,,Yes,29,1
84,15:50:52.000 08/16/2024,42.09788250,-87.82839950,159.400,1.2,0.8,3D,Yes,0.122,0.174,0.213,,,0.9,,Yes,29,1
85,15:50:53.000 08/16/2024,42.09788233,-87.82839933,159.500,1.2,0.8,3D,Yes,0.120,0.171,0.209,,,0.9,,Yes,29,1
86,15:50:54.000 08/16/2024,42.09788217,-87.82839950,159.500,1.2,0.8,3D,Yes,0.118,0.183,0.218,,,0.9,,Yes,29,1
87,15:50:55.000 08/16/2024,42.09788217,-87.82839967,159.500,1.2,0.8,3D,Yes,0.120,0.190,0.225,,,0.9,,Yes,29,1
88,15:50:56.000 08/16/2024,42.09788200,-87.82839983,159.600,1.2,0.8,3D,Yes,0.121,0.191,0.226,,,0.9,,Yes,29,1
89,15:50:57.000 08/16/2024,42.09788200,-87.82839983,159.600,1.2,0.8,3D,Yes,0.118,0.189,0.223,,,0.9,,Yes,29,1
90,15:50:58.000 08/16/2024,42.09788217,-87.82839983,159.600,1.2,0.8,3D,Yes,0.126,0.181,0.221,,,0.9,,Yes,29,1
91,15:50:59.000 08/16/2024,42.09788200,-87.82840000,159.600,1.2,0.8,3D,Yes,0.121,0.187,0.223,,,0.9,,Yes,29,1
92,15:51:00.000 08/16/2024,42.09788183,-87.82840017,159.600,1.2,0.8,3D,Yes,0.119,0.189,0.223,,,0.9,,Yes,29,1
93,15:51:01.000 08/16/2024,42.09788200,-87.82840017,159.600,1.2,0.8,3D,Yes,0.122,0.172,0.211,,,0.9,,Yes,29,1
94,15:51:02.000 08/16/2024,42.09788200,-87.82840000,159.600,1.2,0.8,3D,Yes,0.124,0.169,0.210,,,0.9,,Yes,29,1
95,15:51:03.000 08/16/2024,42.09788200,-87.82839983,159.600,1.2,0.8,3D,Yes,0.124,0.168,0.209,,,0.9,,Yes,29,1
96,15:51:04.000 08/16/2024,42.09788200,-87.82840000,159.600,1.2,0.8,3D,Yes,0.124,0.168,0.209,,,0.9,,Yes,29,1
97,15:51:05.000 08/16/2024,42.09788200,-87.82840000,159.600,1.2,0.8,3D,Yes,0.124,0.168,0.209,,,0.9,,Yes,29,1
98,15:51:06.000 08/16/2024,42.09788183,-87.82840000,159.600,1.2,0.8,3D,Yes,0.123,0.168,0.208,,,0.9,,Yes,29,1
99,15:51:07.000 08/16/2024,42.09788183,-87.82839983,159.600,1.2,0.8,3D,Yes,0.123,0.167,0.207,,,0.9,,Yes,29,1
100,15:51:08.000 08/16/2024,42.09788200,-87.82839983,159.600,1.2,0.8,3D,Yes,0.123,0.176,0.215,,,0.9,,Yes,29,1
101,15:51:09.000 08/16/2024,42.09788183,-87.82840000,159.600,1.2,0.8,3D,Yes,0.121,0.183,0.219,,,0.9,,Yes,29,1
102,15:51:10.000 08/16/2024,42.09788183,-87.82840017,159.600,1.2,0.8,3D,Yes,0.118,0.186,0.220,,,0.9,,Yes,29,1
103,15:51:11.000 08/16/2024,42.09788183,-87.82840017,159.600,1.2,0.8,3D,Yes,0.119,0.175,0.212,,,0.9,,Yes,29,1
104,15:51:12.000 08/16/2024,42.09788183,-87.82840017,159.600,1.2,0.8,3D,Yes,0.118,0.160,0.199,,,0.9,,Yes,29,1
105,15:51:13.000 08/16/2024,42.09788167,-87.82840050,159.600,1.2,0.8,3D,Yes,0.118,0.157,0.196,,,0.9,,Yes,29,1
106,15:51:14.000 08/16/2024,42.09788383,-87.82838483,159.100,1.2,0.8,3D,Yes,0.034,0.065,0.073,,,0.9,,Yes,29,2
107,15:51:15.000 08/16/2024,42.09788383,-87.82838500,159.100,1.2,0.8,3D,Yes,0.034,0.066,0.074,,,0.9,,Yes,29,2
108,15:51:16.000 08/16/2024,42.09788383,-87.82838500,159.100,1.2,0.8,3D,Yes,0.034,0.066,0.074,,,0.9,,Yes,29,2
109,15:51:17.000 08/16/2024,42.09788383,-87.82838500,159.100,1.2,0.8,3D,Yes,0.034,0.066,0.074,,,0.9,,Yes,29,2
110,15:51:18.000 08/16/2024,42.09788383,-87.82838517,159.000,1.2,0.8,3D,Yes,0.034,0.061,0.070,,,0.9,,Yes,29,2
111,15:51:19.000 08/16/2024,42.09788367,-87.82838550,159.000,1.2,0.8,3D,Yes,0.031,0.057,0.065,,,0.9,,Yes,29,2
112,15:51:20.000 08/16/2024,42.09788367,-87.82838550,159.000,1.2,0.8,3D,Yes,0.031,0.057,0.065,,,0.9,,Yes,29,2
113,15:51:21.000 08/16/2024,42.09788367,-87.82838550,159.000,1.2,0.8,3D,Yes,0.029,0.054,0.061,,,0.9,,Yes,29,2
114,15:51:22.000 08/16/2024,42.09788367,-87.82838533,159.000,1.2,0.8,3D,Yes,0.030,0.054,0.062,,,0.9,,Yes,29,2
115,15:51:23.000 08/16/2024,42.09788367,-87.82838550,159.000,1.2,0.8,3D,Yes,0.029,0.054,0.061,,,0.9,,Yes,29,2
116,15:51:24.000 08/16/2024,42.09788367,-87.82838533,159.100,1.2,0.8,3D,Yes,0.030,0.054,0.062,,,0.9,,Yes,29,2
117,15:51:25.000 08/16/2024,42.09788350,-87.82838550,159.100,1.2,0.8,3D,Yes,0.029,0.053,0.060,,,0.9,,Yes,29,2
118,15:51:26.000 08/16/2024,42.09788350,-87.82838533,159.100,1.2,0.8,3D,Yes,0.029,0.051,0.059,,,0.9,,Yes,29,2
119,15:51:27.000 08/16/2024,42.09788350,-87.82838550,159.100,1.2,0.8,3D,Yes,0.029,0.051,0.059,,,0.9,,Yes,29,2
120,15:51:28.000 08/16/2024,42.09788350,-87.82838550,159.100,1.2,0.8,3D,Yes,0.029,0.052,0.060,,,0.9,,Yes,29,2
121,15:51:29.000 08/16/2024,42.09788350,-87.82838533,159.100,1.2,0.8,3D,Yes,0.030,0.052,0.060,,,0.9,,Yes,29,2
122,15:51:30.000 08/16/2024,42.09788333,-87.82838533,159.100,1.2,0.8,3D,Yes,0.032,0.054,0.063,,,0.9,,Yes,29,2
123,15:51:31.000 08/16/2024,42.09788350,-87.82838533,159.100,1.2,0.8,3D,Yes,0.032,0.055,0.064,,,0.9,,Yes,29,2
124,15:51:32.000 08/16/2024,42.09788367,-87.82838533,159.100,1.2,0.8,3D,Yes,0.031,0.052,0.061,,,0.9,,Yes,29,2
125,15:51:33.000 08/16/2024,42.09788367,-87.82838533,159.100,1.2,0.8,3D,Yes,0.032,0.053,0.062,,,0.9,,Yes,29,2
126,15:51:34.000 08/16/2024,42.09788367,-87.82838517,159.100,1.2,0.8,3D,Yes,0.031,0.053,0.061,,,0.9,,Yes,29,2
127,15:51:35.000 08/16/2024,42.09788367,-87.82838533,159.100,1.2,0.8,3D,Yes,0.030,0.053,0.061,,,0.9,,Yes,29,2
128,15:51:36.000 08/16/2024,42.09788367,-87.82838517,159.100,1.2,0.8,3D,Yes,0.031,0.053,0.061,,,0.9,,Yes,29,2
129,15:51:37.000 08/16/2024,42.09788367,-87.82838517,159.100,1.2,0.8,3D,Yes,0.031,0.054,0.062,,,0.9,,Yes,29,2
130,15:51:38.000 08/16/2024,42.09788367,-87.82838500,159.100,1.2,0.8,3D,Yes,0.030,0.051,0.059,,,0.9,,Yes,29,2
131,15:51:39.000 08/16/2024,42.09788367,-87.82838517,159.100,1.2,0.8,3D,Yes,0.030,0.052,0.060,,,0.9,,Yes,29,2
132,15:51:40.000 08/16/2024,42.09788367,-87.82838517,159.100,1.2,0.8,3D,Yes,0.032,0.056,0.064,,,0.9,,Yes,29,2
133,15:51:41.000 08/16/2024,42.09788367,-87.82838517,159.100,1.2,0.8,3D,Yes,0.032,0.057,0.065,,,0.9,,Yes,29,2
134,15:51:42.000 08/16/2024,42.09788367,-87.82838517,159.100,1.2,0.8,3D,Yes,0.034,0.055,0.065,,,0.9,,Yes,29,2
135,15:51:43.000 08/16/2024,42.09788367,-87.82838517,159.000,1.2,0.8,3D,Yes,0.032,0.055,0.064,,,0.9,,Yes,29,2
136,15:51:44.000 08/16/2024,42.09788367,-87.82838500,159.000,1.2,0.8,3D,Yes,0.033,0.058,0.067,,,0.9,,Yes,29,2
137,15:51:45.000 08/16/2024,42.09788367,-87.82838500,159.100,1.2,0.8,3D,Yes,0.033,0.059,0.068,,,0.9,,Yes,29,2
138,15:51:46.000 08/16/2024,42.09788367,-87.82838500,159.100,1.2,0.8,3D,Yes,0.033,0.058,0.067,,,0.9,,Yes,29,2
139,15:51:47.000 08/16/2024,42.09788383,-87.82838500,159.000,1.2,0.8,3D,Yes,0.033,0.058,0.067,,,0.9,,Yes,29,2
140,15:51:48.000 08/16/2024,42.09788367,-87.82838500,159.000,1.2,0.8,3D,Yes,0.033,0.054,0.063,,,0.9,,Yes,29,2
141,15:51:49.000 08/16/2024,42.09788333,-87.82838550,159.000,1.2,0.8,3D,Yes,0.029,0.053,0.060,,,0.9,,Yes,29,2
142,15:51:50.000 08/16/2024,42.09788333,-87.82838550,159.000,1.2,0.8,3D,Yes,0.029,0.054,0.061,,,0.9,,Yes,29,2
143,15:51:51.000 08/16/2024,42.09788383,-87.82838467,159.200,1.2,0.8,3D,Yes,0.031,0.056,0.064,,,0.9,,Yes,29,2
144,15:51:52.000 08/16/2024,42.09788383,-87.82838467,159.200,1.2,0.8,3D,Yes,0.031,0.053,0.061,,,0.9,,Yes,29,2
145,15:51:53.000 08/16/2024,42.09788400,-87.82838467,159.200,1.2,0.8,3D,Yes,0.029,0.052,0.060,,,0.9,,Yes,29,2
146,15:51:54.000 08/16/2024,42.09788383,-87.82838450,159.200,1.2,0.8,3D,Yes,0.031,0.055,0.063,,,0.9,,Yes,29,2
147,15:51:55.000 08/16/2024,42.09788383,-87.82838450,159.300,1.2,0.8,3D,Yes,0.030,0.054,0.062,,,0.9,,Yes,29,2
148,15:51:56.000 08/16/2024,42.09788367,-87.82838450,159.200,1.2,0.8,3D,Yes,0.027,0.049,0.056,,,0.9,,Yes,29,2
149,15:51:57.000 08/16/2024,42.09788367,-87.82838450,159.200,1.2,0.8,3D,Yes,0.027,0.049,0.056,,,0.9,,Yes,29,2
150,15:51:58.000 08/16/2024,42.09788350,-87.82838517,159.000,1.2,0.8,3D,Yes,0.027,0.050,0.057,,,0.9,,Yes,29,2
151,15:51:59.000 08/16/2024,42.09788350,-87.82838517,159.000,1.2,0.8,3D,Yes,0.028,0.050,0.057,,,0.9,,Yes,29,2
152,15:52:00.000 08/16/2024,42.09788350,-87.82838517,159.100,1.2,0.8,3D,Yes,0.028,0.050,0.057,,,0.9,,Yes,29,2
153,15:52:01.000 08/16/2024,42.09788350,-87.82838517,159.100,1.2,0.8,3D,Yes,0.027,0.048,0.055,,,0.9,,Yes,29,2
154,15:52:02.000 08/16/2024,42.09788333,-87.82838517,159.100,1.2,0.8,3D,Yes,0.027,0.050,0.057,,,0.9,,Yes,29,2
155,15:52:03.000 08/16/2024,42.09788367,-87.82838450,159.200,1.2,0.8,3D,Yes,0.027,0.051,0.058,,,0.9,,Yes,29,2
156,15:52:04.000 08/16/2024,42.09788383,-87.82838467,159.200,1.2,0.8,3D,Yes,0.028,0.050,0.057,,,0.9,,Yes,29,2
157,15:52:05.000 08/16/2024,42.09788367,-87.82838450,159.200,1.2,0.8,3D,Yes,0.029,0.052,0.060,,,0.9,,Yes,29,2
158,15:52:06.000 08/16/2024,42.09788333,-87.82838517,159.100,1.2,0.8,3D,Yes,0.030,0.049,0.057,,,0.9,,Yes,29,2
159,15:52:07.000 08/16/2024,42.09788333,-87.82838533,159.100,1.2,0.8,3D,Yes,0.030,0.049,0.057,,,0.9,,Yes,29,2
160,15:52:08.000 08/16/2024,42.09788333,-87.82838517,159.100,1.2,0.8,3D,Yes,0.030,0.049,0.057,,,0.9,,Yes,29,2
161,15:52:09.000 08/16/2024,42.09788333,-87.82838517,159.100,1.2,0.8,3D,Yes,0.031,0.051,0.060,,,0.9,,Yes,29,2
162,15:52:10.000 08/16/2024,42.09788350,-87.82838517,159.100,1.2,0.8,3D,Yes,0.031,0.049,0.058,,,0.9,,Yes,29,2
163,15:52:11.000 08/16/2024,42.09788350,-87.82838467,159.200,1.2,0.8,3D,Yes,0.031,0.053,0.061,,,0.9,,Yes,29,2
164,15:52:12.000 08/16/2024,42.09788350,-87.82838500,159.100,1.2,0.8,3D,Yes,0.031,0.053,0.061,,,0.9,,Yes,29,2
165,15:52:13.000 08/16/2024,42.09788350,-87.82838483,159.100,1.2,0.8,3D,Yes,0.028,0.049,0.056,,,0.9,,Yes,29,2
166,15:52:14.000 08/16/2024,42.09788350,-87.82838500,159.100,1.2,0.8,3D,Yes,0.028,0.050,0.057,,,0.9,,Yes,29,2
167,15:52:15.000 08/16/2024,42.09788350,-87.82838483,159.100,1.2,0.8,3D,Yes,0.031,0.051,0.060,,,0.9,,Yes,29,2
168,15:52:16.000 08/16/2024,42.09788350,-87.82838483,159.100,1.2,0.8,3D,Yes,0.030,0.052,0.060,,,0.9,,Yes,29,2
169,15:52:17.000 08/16/2024,42.09788350,-87.82838483,159.100,1.2,0.8,3D,Yes,0.031,0.062,0.069,,,0.9,,Yes,29,2
170,15:52:18.000 08/16/2024,42.09788350,-87.82838483,159.100,1.2,0.8,3D,Yes,0.031,0.063,0.070,,,0.9,,Yes,29,2
171,15:52:19.000 08/16/2024,42.09788317,-87.82838533,159.100,1.2,0.8,3D,Yes,0.028,0.056,0.063,,,0.9,,Yes,29,2
172,15:52:20.000 08/16/2024,42.09788317,-87.82838550,159.100,1.2,0.8,3D,Yes,0.028,0.054,0.061,,,0.9,,Yes,29,2
173,15:52:21.000 08/16/2024,42.09788333,-87.82838500,159.200,1.2,0.8,3D,Yes,0.028,0.053,0.060,,,0.9,,Yes,29,2
174,15:52:22.000 08/16/2024,42.09788317,-87.82838533,159.100,1.2,0.8,3D,Yes,0.030,0.054,0.062,,,0.9,,Yes,29,2
175,15:52:23.000 08/16/2024,42.09788333,-87.82838517,159.100,1.2,0.8,3D,Yes,0.027,0.050,0.057,,,0.9,,Yes,29,2
176,15:52:24.000 08/16/2024,42.09788333,-87.82838517,159.100,1.2,0.8,3D,Yes,0.027,0.051,0.058,,,0.9,,Yes,29,2
177,15:52:25.000 08/16/2024,42.09788333,-87.82838517,159.100,1.2,0.8,3D,Yes,0.027,0.052,0.059,,,0.9,,Yes,29,2
178,15:52:26.000 08/16/2024,42.09788333,-87.82838517,159.100,1.2,0.8,3D,Yes,0.026,0.051,0.057,,,0.9,,Yes,29,2
179,15:52:27.000 08/16/2024,42.09788317,-87.82838500,159.200,1.2,0.8,3D,Yes,0.028,0.052,0.059,,,0.9,,Yes,29,2
180,15:52:28.000 08/16/2024,42.09788333,-87.82838500,159.200,1.2,0.8,3D,Yes,0.029,0.053,0.060,,,0.9,,Yes,29,2
