Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,VDOP,Fix type (GPS),SVs Used,Carrier Range Status,RTK Fix Type
19,19:02:34.000 08/15/2024,41.88765817,-87.65903717,148.700,2.0,1.0,1.7,3D,14,1,Float
20,19:02:35.000 08/15/2024,41.88766800,-87.65903250,148.700,2.0,1.0,1.7,3D,14,1,Float
21,19:02:36.000 08/15/2024,41.88767683,-87.65902767,148.700,2.0,1.0,1.7,3D,14,1,Float
22,19:02:37.000 08/15/2024,41.88768550,-87.65902383,148.700,2.0,1.0,1.7,3D,14,1,Float
23,19:02:38.000 08/15/2024,41.88769400,-87.65902100,148.800,2.0,1.0,1.7,3D,15,1,Float
24,19:02:39.000 08/15/2024,41.88770233,-87.65901817,148.700,2.0,1.0,1.7,3D,15,1,Float
25,19:02:40.000 08/15/2024,41.88771067,-87.65901517,148.700,2.0,1.0,1.7,3D,15,1,Float
26,19:02:41.000 08/15/2024,41.88771883,-87.65901383,148.600,2.0,1.0,1.7,3D,15,1,Float
27,19:02:42.000 08/15/2024,41.88772750,-87.65901633,148.600,2.0,1.0,1.7,3D,15,1,Float
28,19:02:43.000 08/15/2024,41.88773567,-87.65902117,148.600,2.0,1.0,1.7,3D,15,1,Float
29,19:02:44.000 08/15/2024,41.88774217,-87.65902517,148.600,2.0,1.0,1.7,3D,15,1,Float
30,19:02:45.000 08/15/2024,41.88774650,-87.65902517,148.700,2.0,1.0,1.7,3D,16,1,Float
31,19:02:46.000 08/15/2024,41.88774800,-87.65902417,148.700,2.0,1.0,1.7,3D,16,1,Float
32,19:02:47.000 08/15/2024,41.88774833,-87.65902417,148.800,2.0,1.0,1.7,3D,16,1,Float
33,19:02:48.000 08/15/2024,41.88774800,-87.65902433,148.800,2.0,1.0,1.7,3D,16,1,Float
34,19:02:49.000 08/15/2024,41.88774800,-87.65902517,148.800,2.0,1.0,1.7,3D,16,1,Float
35,19:02:50.000 08/15/2024,41.88774883,-87.65902600,148.900,1.6,0.8,1.3,3D,16,1,Float
36,19:02:51.000 08/15/2024,41.88774917,-87.65902650,148.900,1.6,0.8,1.3,3D,16,1,Float
37,19:02:52.000 08/15/2024,41.88774850,-87.65902717,148.900,1.6,0.8,1.3,3D,16,1,Float
38,19:02:53.000 08/15/2024,41.88774817,-87.65902700,148.800,1.6,0.8,1.3,3D,16,1,Float
39,19:02:54.000 08/15/2024,41.88774800,-87.65902717,148.800,1.6,0.8,1.3,3D,16,1,Float
40,19:02:55.000 08/15/2024,41.88774817,-87.65902700,148.800,1.6,0.8,1.3,3D,16,1,Float
41,19:02:56.000 08/15/2024,41.88774850,-87.65902567,148.800,1.6,0.8,1.3,3D,16,1,Float
42,19:02:57.000 08/15/2024,41.88774867,-87.65902483,148.600,1.6,0.8,1.3,3D,16,1,Float
43,19:02:58.000 08/15/2024,41.88774850,-87.65902400,148.500,1.6,0.8,1.3,3D,16,1,Float
44,19:02:59.000 08/15/2024,41.88774833,-87.65902283,148.500,1.6,0.8,1.3,3D,16,1,Float
45,19:03:00.000 08/15/2024,41.88774783,-87.65902167,148.500,1.6,0.8,1.3,3D,19,1,Float
46,19:03:01.000 08/15/2024,41.88774800,-87.65902250,148.500,1.6,0.8,1.3,3D,19,1,Float
47,19:03:02.000 08/15/2024,41.88774783,-87.65902300,148.400,1.6,0.8,1.3,3D,19,1,Float
48,19:03:03.000 08/15/2024,41.88774750,-87.65902267,148.400,1.6,0.8,1.3,3D,19,1,Float
49,19:03:04.000 08/15/2024,41.88774767,-87.65902300,148.400,1.6,0.8,1.3,3D,19,1,Float
50,19:03:05.000 08/15/2024,41.88774750,-87.65902333,148.300,1.6,0.8,1.3,3D,19,1,Float
51,19:03:06.000 08/15/2024,41.88774700,-87.65902233,148.300,1.6,0.8,1.3,3D,19,1,Float
52,19:03:07.000 08/15/2024,41.88774717,-87.65902383,148.300,1.3,0.7,1.0,3D,19,1,Float
53,19:03:08.000 08/15/2024,41.88774917,-87.65902683,148.200,1.3,0.7,1.0,3D,19,1,Float
54,19:03:09.000 08/15/2024,41.88775100,-87.65902950,148.200,1.3,0.7,1.0,3D,20,1,Float
55,19:03:10.000 08/15/2024,41.88775350,-87.65903183,148.200,1.3,0.7,1.0,3D,20,1,Float
56,19:03:11.000 08/15/2024,41.88775633,-87.65903450,148.100,1.3,0.7,1.0,3D,20,1,Float
57,19:03:12.000 08/15/2024,41.88775883,-87.65903717,148.000,1.3,0.7,1.0,3D,20,1,Float
58,19:03:13.000 08/15/2024,41.88775967,-87.65903733,147.900,1.3,0.7,1.0,3D,20,1,Float
59,19:03:14.000 08/15/2024,41.88775667,-87.65903733,147.800,1.3,0.7,1.0,3D,20,1,Float
60,19:03:15.000 08/15/2024,41.88775167,-87.65903700,147.400,1.3,0.7,1.0,3D,23,1,Float
61,19:03:16.000 08/15/2024,41.88774917,-87.65903617,146.900,1.3,0.7,1.0,3D,23,1,Float
62,19:03:17.000 08/15/2024,41.88774867,-87.65903567,146.700,1.3,0.7,1.1,3D,23,1,Float
63,19:03:18.000 08/15/2024,41.88774883,-87.65903533,146.600,1.3,0.7,1.0,3D,23,1,Float
64,19:03:19.000 08/15/2024,41.88774883,-87.65903500,146.700,1.3,0.7,1.0,3D,23,1,Float
65,19:03:20.000 08/15/2024,41.88774917,-87.65903500,146.700,1.2,0.7,1.0,3D,23,1,Float
66,19:03:21.000 08/15/2024,41.88774950,-87.65903483,146.700,1.2,0.7,1.0,3D,23,1,Float
67,19:03:22.000 08/15/2024,41.88774983,-87.65903483,146.700,1.2,0.7,1.0,3D,23,1,Float
68,19:03:23.000 08/15/2024,41.88775017,-87.65903483,146.700,1.2,0.7,1.0,3D,23,1,Float
69,19:03:24.000 08/15/2024,41.88775167,-87.65903200,146.800,1.2,0.7,1.0,3D,23,2,Fixed
70,19:03:25.000 08/15/2024,41.88775183,-87.65903183,146.800,1.2,0.7,1.0,3D,23,2,Fixed
71,19:03:26.000 08/15/2024,41.88775167,-87.65903167,146.900,1.2,0.7,1.0,3D,23,1,Float
72,19:03:27.000 08/15/2024,41.88775183,-87.65903167,146.800,1.2,0.7,1.0,3D,23,1,Float
73,19:03:28.000 08/15/2024,41.88775183,-87.65903167,146.800,1.2,0.7,1.0,3D,23,1,Float
74,19:03:29.000 08/15/2024,41.88775183,-87.65903167,146.800,1.2,0.7,1.0,3D,23,1,Float
75,19:03:30.000 08/15/2024,41.88775183,-87.65903167,146.800,1.2,0.7,1.0,3D,23,1,Float
76,19:03:31.000 08/15/2024,41.88775183,-87.65903150,146.800,1.2,0.7,1.0,3D,23,1,Float
77,19:03:32.000 08/15/2024,41.88775183,-87.65903150,146.800,1.2,0.7,1.0,3D,24,1,Float
78,19:03:33.000 08/15/2024,41.88775183,-87.65903150,146.800,1.4,0.7,1.2,3D,23,1,Float
79,19:03:34.000 08/15/2024,41.88775183,-87.65903150,146.800,1.4,0.7,1.2,3D,23,1,Float
80,19:03:35.000 08/15/2024,41.88775183,-87.65903150,146.800,1.4,0.7,1.2,3D,24,1,Float
81,19:03:36.000 08/15/2024,41.88775183,-87.65903133,146.800,1.2,0.7,1.0,3D,24,1,Float
82,19:03:37.000 08/15/2024,41.88775183,-87.65903133,146.800,1.2,0.7,1.0,3D,24,1,Float
83,19:03:38.000 08/15/2024,41.88775183,-87.65903133,146.800,1.2,0.7,1.0,3D,24,1,Float
84,19:03:39.000 08/15/2024,41.88775183,-87.65903150,146.800,1.2,0.7,1.0,3D,25,1,Float
85,19:03:40.000 08/15/2024,41.88775183,-87.65903150,146.800,1.2,0.7,1.0,3D,25,1,Float
86,19:03:41.000 08/15/2024,41.88775183,-87.65903150,146.800,1.2,0.7,1.0,3D,25,1,Float
87,19:03:42.000 08/15/2024,41.88775183,-87.65903133,146.800,1.2,0.7,1.0,3D,25,1,Float
88,19:03:43.000 08/15/2024,41.88775183,-87.65903133,146.800,1.2,0.7,1.0,3D,25,1,Float
89,19:03:44.000 08/15/2024,41.88775167,-87.65903150,146.800,1.2,0.7,1.0,3D,25,1,Float
90,19:03:45.000 08/15/2024,41.88775167,-87.65903133,146.800,1.2,0.7,1.0,3D,25,1,Float
91,19:03:46.000 08/15/2024,41.88775167,-87.65903133,146.800,1.2,0.7,1.0,3D,25,1,Float
92,19:03:47.000 08/15/2024,41.88775183,-87.65903133,146.800,1.2,0.7,1.0,3D,25,1,Float
93,19:03:48.000 08/15/2024,41.88775183,-87.65903133,146.800,1.2,0.7,1.0,3D,25,1,Float
94,19:03:49.000 08/15/2024,41.88775183,-87.65903167,146.800,1.2,0.7,1.0,3D,25,1,Float
95,19:03:50.000 08/15/2024,41.88775167,-87.65903183,146.800,1.2,0.7,1.0,3D,25,1,Float
96,19:03:51.000 08/15/2024,41.88775183,-87.65903167,146.800,1.2,0.7,1.0,3D,25,1,Float
97,19:03:52.000 08/15/2024,41.88775167,-87.65903167,146.800,1.2,0.7,1.0,3D,25,1,Float
98,19:03:53.000 08/15/2024,41.88775167,-87.65903167,146.800,1.2,0.7,1.0,3D,25,1,Float
99,19:03:54.000 08/15/2024,41.88775167,-87.65903167,146.800,1.2,0.7,1.0,3D,25,1,Float
100,19:03:55.000 08/15/2024,41.88775167,-87.65903167,146.800,1.2,0.7,1.0,3D,25,1,Float
101,19:03:56.000 08/15/2024,41.88775167,-87.65903167,146.800,1.2,0.7,1.0,3D,25,1,Float
102,19:03:57.000 08/15/2024,41.88775167,-87.65903167,146.800,1.2,0.7,1.0,3D,25,1,Float
103,19:03:58.000 08/15/2024,41.88775167,-87.65903167,146.800,1.2,0.7,1.0,3D,25,1,Float
104,19:03:59.000 08/15/2024,41.88775200,-87.65903217,146.600,1.2,0.7,1.0,3D,25,2,Fixed
105,19:04:00.000 08/15/2024,41.88775217,-87.65903217,146.600,1.2,0.7,1.0,3D,25,2,Fixed
106,19:04:01.000 08/15/2024,41.88775217,-87.65903200,146.600,1.2,0.7,1.0,3D,25,2,Fixed
107,19:04:02.000 08/15/2024,41.88775200,-87.65903200,146.600,1.2,0.7,1.0,3D,25,2,Fixed
108,19:04:03.000 08/15/2024,41.88775200,-87.65903200,146.600,1.2,0.7,1.0,3D,25,2,Fixed
109,19:04:04.000 08/15/2024,41.88775217,-87.65903200,146.600,1.2,0.7,1.0,3D,25,2,Fixed
110,19:04:05.000 08/15/2024,41.88775200,-87.65903183,146.600,1.2,0.7,1.0,3D,25,2,Fixed
111,19:04:06.000 08/15/2024,41.88775217,-87.65903183,146.600,1.2,0.7,1.0,3D,25,2,Fixed
112,19:04:07.000 08/15/2024,41.88775200,-87.65903183,146.600,1.2,0.7,1.0,3D,25,2,Fixed
113,19:04:08.000 08/15/2024,41.88775217,-87.65903183,146.600,1.2,0.7,1.0,3D,25,2,Fixed
114,19:04:09.000 08/15/2024,41.88775217,-87.65903183,146.600,1.2,0.7,1.0,3D,25,2,Fixed
115,19:04:10.000 08/15/2024,41.88775217,-87.65903183,146.500,1.2,0.7,1.0,3D,25,2,Fixed
116,19:04:11.000 08/15/2024,41.88775217,-87.65903183,146.500,1.2,0.7,1.0,3D,25,2,Fixed
117,19:04:12.000 08/15/2024,41.88775217,-87.65903167,146.500,1.2,0.7,1.0,3D,25,2,Fixed
118,19:04:13.000 08/15/2024,41.88775217,-87.65903167,146.500,1.2,0.7,1.0,3D,25,2,Fixed
119,19:04:14.000 08/15/2024,41.88775217,-87.65903183,146.500,1.2,0.7,1.0,3D,25,2,Fixed
120,19:04:15.000 08/15/2024,41.88775217,-87.65903167,146.500,1.2,0.7,1.0,3D,25,2,Fixed
121,19:04:16.000 08/15/2024,41.88775217,-87.65903167,146.500,1.2,0.7,1.0,3D,25,1,Float
122,19:04:17.000 08/15/2024,41.88775217,-87.65903167,146.500,1.2,0.7,1.0,3D,26,1,Float
123,19:04:18.000 08/15/2024,41.88775217,-87.65903167,146.500,1.2,0.7,1.0,3D,26,1,Float
124,19:04:19.000 08/15/2024,41.88775217,-87.65903167,146.500,1.2,0.7,1.0,3D,26,1,Float
125,19:04:20.000 08/15/2024,41.88775233,-87.65903183,146.500,1.2,0.6,1.0,3D,26,1,Float
126,19:04:21.000 08/15/2024,41.88775233,-87.65903200,146.600,1.2,0.6,1.0,3D,26,1,Float
127,19:04:22.000 08/15/2024,41.88775250,-87.65903183,146.600,1.2,0.6,1.0,3D,26,1,Float
128,19:04:23.000 08/15/2024,41.88775233,-87.65903200,146.600,1.2,0.6,1.0,3D,26,1,Float
129,19:04:24.000 08/15/2024,41.88775233,-87.65903200,146.600,1.2,0.6,1.0,3D,26,1,Float
130,19:04:25.000 08/15/2024,41.88775167,-87.65903200,146.600,1.1,0.6,1.0,3D,26,1,Float
131,19:04:26.000 08/15/2024,41.88775200,-87.65903233,146.600,1.1,0.6,1.0,3D,26,1,Float
132,19:04:27.000 08/15/2024,41.88775083,-87.65903050,147.300,1.1,0.6,1.0,3D,26,1,Float
133,19:04:28.000 08/15/2024,41.88774533,-87.65902100,147.900,1.1,0.6,1.0,3D,26,1,Float
134,19:04:29.000 08/15/2024,41.88774117,-87.65900733,148.100,1.1,0.6,1.0,3D,26,1,Float
135,19:04:30.000 08/15/2024,41.88774150,-87.65899167,148.000,1.1,0.6,1.0,3D,26,1,Float
136,19:04:31.000 08/15/2024,41.88774217,-87.65897467,148.000,1.1,0.6,1.0,3D,26,1,Float
137,19:04:32.000 08/15/2024,41.88774233,-87.65895933,148.000,1.1,0.6,1.0,3D,26,1,Float
138,19:04:33.000 08/15/2024,41.88774183,-87.65895200,148.100,1.1,0.6,1.0,3D,26,1,Float
139,19:04:34.000 08/15/2024,41.88774267,-87.65895850,148.100,1.1,0.6,1.0,3D,26,1,Float
140,19:04:35.000 08/15/2024,41.88774383,-87.65896867,148.000,1.1,0.6,1.0,3D,26,1,Float
141,19:04:36.000 08/15/2024,41.88774217,-87.65897733,148.000,1.1,0.6,1.0,3D,26,1,Float
142,19:04:37.000 08/15/2024,41.88773900,-87.65898417,147.900,1.1,0.6,1.0,3D,26,1,Float
143,19:04:38.000 08/15/2024,41.88773750,-87.65898950,147.900,1.1,0.6,1.0,3D,26,1,Float
144,19:04:39.000 08/15/2024,41.88773750,-87.65899367,147.800,1.1,0.6,1.0,3D,26,1,Float
145,19:04:40.000 08/15/2024,41.88773750,-87.65899650,147.800,1.1,0.6,1.0,3D,26,1,Float
146,19:04:41.000 08/15/2024,41.88773883,-87.65900133,147.500,1.1,0.6,1.0,3D,26,1,Float
147,19:04:42.000 08/15/2024,41.88773850,-87.65900517,146.800,1.1,0.6,1.0,3D,26,1,Float
148,19:04:43.000 08/15/2024,41.88773850,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
149,19:04:44.000 08/15/2024,41.88773867,-87.65900567,146.400,1.1,0.6,1.0,3D,26,1,Float
150,19:04:45.000 08/15/2024,41.88773850,-87.65900583,146.500,1.1,0.6,1.0,3D,26,1,Float
151,19:04:46.000 08/15/2024,41.88773850,-87.65900583,146.500,1.1,0.6,1.0,3D,26,1,Float
152,19:04:47.000 08/15/2024,41.88773850,-87.65900583,146.500,1.1,0.6,1.0,3D,26,1,Float
153,19:04:48.000 08/15/2024,41.88773850,-87.65900583,146.500,1.1,0.6,1.0,3D,26,1,Float
154,19:04:49.000 08/15/2024,41.88773850,-87.65900583,146.500,1.1,0.6,1.0,3D,26,1,Float
155,19:04:50.000 08/15/2024,41.88773867,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
156,19:04:51.000 08/15/2024,41.88773867,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
157,19:04:52.000 08/15/2024,41.88773867,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
158,19:04:53.000 08/15/2024,41.88773867,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
159,19:04:54.000 08/15/2024,41.88773867,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
160,19:04:55.000 08/15/2024,41.88773867,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
161,19:04:56.000 08/15/2024,41.88773867,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
162,19:04:57.000 08/15/2024,41.88773867,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
163,19:04:58.000 08/15/2024,41.88773867,-87.65900617,146.500,1.1,0.6,1.0,3D,26,1,Float
164,19:04:59.000 08/15/2024,41.88773850,-87.65900617,146.500,1.2,0.7,1.0,3D,25,1,Float
165,19:05:00.000 08/15/2024,41.88773850,-87.65900617,146.500,1.2,0.7,1.0,3D,25,1,Float
166,19:05:01.000 08/15/2024,41.88773850,-87.65900617,146.500,1.2,0.7,1.0,3D,25,1,Float
167,19:05:02.000 08/15/2024,41.88773850,-87.65900600,146.500,1.2,0.7,1.0,3D,25,1,Float
168,19:05:03.000 08/15/2024,41.88773850,-87.65900600,146.500,1.2,0.7,1.0,3D,27,1,Float
169,19:05:04.000 08/15/2024,41.88773850,-87.65900600,146.500,1.1,0.6,1.0,3D,27,1,Float
170,19:05:05.000 08/15/2024,41.88773850,-87.65900600,146.500,1.1,0.6,1.0,3D,27,1,Float
171,19:05:06.000 08/15/2024,41.88773850,-87.65900600,146.500,1.1,0.6,1.0,3D,27,1,Float
172,19:05:07.000 08/15/2024,41.88773850,-87.65900600,146.500,1.1,0.6,1.0,3D,27,1,Float
173,19:05:08.000 08/15/2024,41.88773850,-87.65900600,146.500,1.1,0.6,1.0,3D,27,1,Float
174,19:05:09.000 08/15/2024,41.88773850,-87.65900600,146.500,1.1,0.6,1.0,3D,27,1,Float
175,19:05:10.000 08/15/2024,41.88773850,-87.65900583,146.500,1.1,0.6,1.0,3D,27,1,Float
176,19:05:11.000 08/15/2024,41.88773850,-87.65900583,146.500,1.1,0.6,1.0,3D,27,1,Float
177,19:05:12.000 08/15/2024,41.88773850,-87.65900583,146.500,1.1,0.6,1.0,3D,27,1,Float
178,19:05:13.000 08/15/2024,41.88773850,-87.65900583,146.500,1.1,0.6,1.0,3D,27,1,Float
179,19:05:14.000 08/15/2024,41.88773850,-87.65900583,146.600,1.1,0.6,1.0,3D,27,1,Float
180,19:05:15.000 08/15/2024,41.88773850,-87.65900583,146.600,1.1,0.6,1.0,3D,27,1,Float
181,19:05:16.000 08/15/2024,41.88773850,-87.65900583,146.600,1.1,0.6,1.0,3D,27,1,Float
182,19:05:17.000 08/15/2024,41.88773850,-87.65900567,146.600,1.1,0.6,1.0,3D,27,1,Float
183,19:05:18.000 08/15/2024,41.88773850,-87.65900583,146.600,1.1,0.6,1.0,3D,27,1,Float
184,19:05:19.000 08/15/2024,41.88773817,-87.65900633,146.600,1.1,0.6,1.0,3D,27,1,Float
185,19:05:20.000 08/15/2024,41.88773750,-87.65900667,146.700,1.1,0.6,1.0,3D,27,1,Float
186,19:05:21.000 08/15/2024,41.88773717,-87.65900300,147.500,1.1,0.6,1.0,3D,27,1,Float
187,19:05:22.000 08/15/2024,41.88773233,-87.65899800,147.900,1.1,0.6,1.0,3D,27,1,Float
188,19:05:23.000 08/15/2024,41.88772333,-87.65899733,147.800,1.1,0.6,1.0,3D,27,1,Float
189,19:05:24.000 08/15/2024,41.88771300,-87.65899983,147.800,1.1,0.6,1.0,3D,27,1,Float
190,19:05:25.000 08/15/2024,41.88770217,-87.65900283,147.900,1.1,0.6,1.0,3D,27,1,Float
191,19:05:26.000 08/15/2024,41.88769150,-87.65900517,148.000,1.1,0.6,1.0,3D,27,1,Float
192,19:05:27.000 08/15/2024,41.88768017,-87.65900800,148.100,1.1,0.6,1.0,3D,27,1,Float
193,19:05:28.000 08/15/2024,41.88766883,-87.65901050,148.000,1.1,0.6,1.0,3D,27,1,Float
194,19:05:29.000 08/15/2024,41.88765833,-87.65901383,148.000,1.1,0.6,1.0,3D,27,1,Float
195,19:05:30.000 08/15/2024,41.88764800,-87.65901783,147.800,1.1,0.6,1.0,3D,27,1,Float
196,19:05:31.000 08/15/2024,41.88763767,-87.65902167,147.600,1.1,0.6,1.0,3D,27,1,Float
197,19:05:32.000 08/15/2024,41.88762667,-87.65902467,147.600,1.1,0.6,1.0,3D,27,1,Float
198,19:05:33.000 08/15/2024,41.88761683,-87.65902583,147.700,1.1,0.6,1.0,3D,27,1,Float
199,19:05:34.000 08/15/2024,41.88760750,-87.65902450,147.700,1.1,0.6,1.0,3D,27,1,Float
200,19:05:35.000 08/15/2024,41.88759750,-87.65902383,147.800,1.1,0.6,1.0,3D,27,1,Float
201,19:05:36.000 08/15/2024,41.88758750,-87.65902433,147.800,1.1,0.6,1.0,3D,27,1,Float
202,19:05:37.000 08/15/2024,41.88757783,-87.65902450,147.900,1.1,0.6,1.0,3D,27,1,Float
203,19:05:38.000 08/15/2024,41.88756717,-87.65902317,147.900,1.2,0.7,1.0,3D,27,1,Float
204,19:05:39.000 08/15/2024,41.88755633,-87.65902233,147.900,1.2,0.7,1.0,3D,24,1,Float
205,19:05:40.000 08/15/2024,41.88754617,-87.65902200,148.000,1.2,0.7,1.0,3D,24,1,Float
206,19:05:41.000 08/15/2024,41.88753600,-87.65902267,147.900,1.2,0.7,1.0,3D,23,1,Float
207,19:05:42.000 08/15/2024,41.88752583,-87.65902350,147.800,1.3,0.7,1.0,3D,24,1,Float
208,19:05:43.000 08/15/2024,41.88751717,-87.65902150,147.700,1.3,0.7,1.0,3D,24,2,Fixed
209,19:05:44.000 08/15/2024,41.88750700,-87.65902383,147.600,1.3,0.7,1.1,3D,22,2,Fixed
210,19:05:45.000 08/15/2024,41.88749750,-87.65902333,147.800,1.6,0.9,1.3,3D,21,1,Float
211,19:05:46.000 08/15/2024,41.88748750,-87.65902233,147.900,1.6,0.8,1.3,3D,20,1,Float
212,19:05:47.000 08/15/2024,41.88747800,-87.65902233,147.800,1.6,0.8,1.3,3D,21,1,Float
213,19:05:48.000 08/15/2024,41.88746817,-87.65902233,147.900,1.6,0.8,1.3,3D,21,1,Float
214,19:05:49.000 08/15/2024,41.88745817,-87.65902267,148.000,1.6,0.8,1.3,3D,19,1,Float
215,19:05:50.000 08/15/2024,41.88744833,-87.65902300,147.900,1.6,0.8,1.3,3D,21,1,Float
216,19:05:51.000 08/15/2024,41.88743900,-87.65902300,147.800,1.6,0.8,1.3,3D,21,1,Float
217,19:05:52.000 08/15/2024,41.88742917,-87.65902167,147.800,1.6,0.8,1.3,3D,22,1,Float
218,19:05:53.000 08/15/2024,41.88741883,-87.65902133,147.900,1.4,0.8,1.2,3D,23,1,Float
219,19:05:54.000 08/15/2024,41.88740917,-87.65902067,147.900,1.4,0.8,1.2,3D,24,1,Float
220,19:05:55.000 08/15/2024,41.88739967,-87.65902033,147.900,1.4,0.8,1.2,3D,24,1,Float
221,19:05:56.000 08/15/2024,41.88739017,-87.65902033,147.800,1.3,0.7,1.1,3D,24,1,Float
222,19:05:57.000 08/15/2024,41.88738083,-87.65902050,147.800,1.3,0.7,1.1,3D,24,1,Float
223,19:05:58.000 08/15/2024,41.88737067,-87.65902017,147.800,1.3,0.7,1.1,3D,24,1,Float
224,19:05:59.000 08/15/2024,41.88736083,-87.65901917,147.800,1.3,0.7,1.1,3D,25,1,Float
225,19:06:00.000 08/15/2024,41.88735133,-87.65901917,147.600,1.3,0.7,1.1,3D,25,1,Float
226,19:06:01.000 08/15/2024,41.88734183,-87.65901917,147.600,1.3,0.7,1.1,3D,26,1,Float
227,19:06:02.000 08/15/2024,41.88733200,-87.65901783,147.600,1.3,0.7,1.1,3D,26,1,Float
228,19:06:03.000 08/15/2024,41.88732217,-87.65901717,147.600,1.3,0.7,1.1,3D,26,1,Float
229,19:06:04.000 08/15/2024,41.88731233,-87.65901733,147.600,1.3,0.7,1.1,3D,26,1,Float
230,19:06:05.000 08/15/2024,41.88730283,-87.65901817,147.500,1.3,0.7,1.1,3D,25,1,Float
231,19:06:06.000 08/15/2024,41.88729300,-87.65901867,147.600,1.3,0.7,1.1,3D,25,1,Float
232,19:06:07.000 08/15/2024,41.88728317,-87.65901867,147.600,1.3,0.7,1.1,3D,25,1,Float
233,19:06:08.000 08/15/2024,41.88727367,-87.65901800,147.600,1.3,0.7,1.1,3D,25,1,Float
234,19:06:09.000 08/15/2024,41.88726350,-87.65901683,147.500,1.3,0.7,1.1,3D,25,1,Float
235,19:06:10.000 08/15/2024,41.88725350,-87.65901667,147.500,1.3,0.7,1.1,3D,25,1,Float
236,19:06:11.000 08/15/2024,41.88724383,-87.65901733,147.600,1.3,0.7,1.1,3D,25,1,Float
237,19:06:12.000 08/15/2024,41.88723417,-87.65901733,147.700,1.3,0.7,1.1,3D,25,1,Float
238,19:06:13.000 08/15/2024,41.88722483,-87.65901700,147.600,1.3,0.7,1.1,3D,26,1,Float
239,19:06:14.000 08/15/2024,41.88721517,-87.65901567,147.500,1.3,0.7,1.1,3D,25,1,Float
240,19:06:15.000 08/15/2024,41.88720500,-87.65901467,147.400,1.3,0.7,1.1,3D,25,1,Float
241,19:06:16.000 08/15/2024,41.88719433,-87.65901483,147.600,1.4,0.8,1.1,3D,25,1,Float
242,19:06:17.000 08/15/2024,41.88718467,-87.65901500,147.600,1.3,0.7,1.1,3D,23,1,Float
243,19:06:18.000 08/15/2024,41.88717533,-87.65901483,147.700,1.2,0.7,1.0,3D,24,1,Float
244,19:06:19.000 08/15/2024,41.88716550,-87.65901467,147.600,1.2,0.7,1.0,3D,23,1,Float
245,19:06:20.000 08/15/2024,41.88715550,-87.65901550,147.500,1.6,0.8,1.3,3D,19,1,Float
