Index,UTC,Lat,Lon,Alt (HAE),PDOP,HDOP,Fix type (GPS),Fix type (GPS) valid,PACC H,PACC V,PACC 3D,EDOP,NDOP,VDOP,GDOP,DGPS,SVs Used,Carrier Range Status
47,18:23:37.000 08/15/2024,41.88656517,-87.65866383,147.200,1.2,0.8,3D,Yes,1.324,2.000,2.399,,,0.9,,No,19,0
48,18:23:38.000 08/15/2024,41.88656467,-87.65865133,147.100,1.2,0.8,3D,Yes,1.326,1.988,2.390,,,0.9,,No,19,0
49,18:23:39.000 08/15/2024,41.88656433,-87.65863800,147.000,1.2,0.8,3D,Yes,1.330,1.980,2.385,,,0.9,,No,19,0
50,18:23:40.000 08/15/2024,41.88656533,-87.65862467,147.000,1.3,0.9,3D,Yes,1.337,1.973,2.383,,,0.9,,No,18,0
51,18:23:41.000 08/15/2024,41.88656600,-87.65861033,147.200,1.3,0.9,3D,Yes,1.351,1.968,2.387,,,0.9,,No,18,0
52,18:23:42.000 08/15/2024,41.88656650,-87.65859633,147.300,1.2,0.8,3D,Yes,1.368,1.961,2.391,,,0.9,,No,19,0
53,18:23:43.000 08/15/2024,41.88656800,-87.65858467,147.200,1.3,0.9,3D,Yes,1.390,1.959,2.402,,,0.9,,No,18,0
54,18:23:44.000 08/15/2024,41.88656933,-87.65857300,147.200,1.3,0.9,3D,Yes,1.429,1.964,2.429,,,0.9,,No,18,0
55,18:23:45.000 08/15/2024,41.88656983,-87.65856083,147.300,1.4,1.0,3D,Yes,1.471,1.965,2.455,,,1.0,,No,17,0
56,18:23:46.000 08/15/2024,41.88657017,-87.65854917,147.400,1.5,1.1,3D,Yes,1.504,1.963,2.473,,,1.0,,No,16,0
57,18:23:47.000 08/15/2024,41.88656933,-87.65853683,147.400,1.5,1.1,3D,Yes,1.538,1.965,2.495,,,1.0,,No,15,0
58,18:23:48.000 08/15/2024,41.88656867,-87.65852333,147.400,1.5,1.1,3D,Yes,1.579,1.970,2.525,,,1.0,,No,15,0
59,18:23:49.000 08/15/2024,41.88656883,-87.65851033,147.600,1.5,1.1,3D,Yes,1.622,1.972,2.553,,,1.0,,No,15,0
60,18:23:50.000 08/15/2024,41.88656900,-87.65849733,147.700,1.4,1.0,3D,Yes,1.656,1.972,2.575,,,1.0,,No,17,0
61,18:23:51.000 08/15/2024,41.88656967,-87.65848383,147.800,1.7,1.4,3D,Yes,1.685,1.972,2.594,,,1.0,,No,15,0
62,18:23:52.000 08/15/2024,41.88657083,-87.65847083,148.100,1.7,1.4,3D,Yes,1.714,1.970,2.611,,,1.0,,No,15,0
63,18:23:53.000 08/15/2024,41.88657167,-87.65845967,148.300,1.7,1.4,3D,Yes,1.739,1.973,2.630,,,1.0,,No,14,0
64,18:23:54.000 08/15/2024,41.88657283,-87.65844833,148.500,1.7,1.4,3D,Yes,1.766,1.980,2.653,,,1.0,,No,15,0
65,18:23:55.000 08/15/2024,41.88657300,-87.65843583,148.500,1.7,1.4,3D,Yes,1.787,1.980,2.667,,,1.0,,No,15,0
66,18:23:56.000 08/15/2024,41.88657283,-87.65842250,148.600,1.7,1.4,3D,Yes,1.811,1.987,2.688,,,1.0,,No,15,0
67,18:23:57.000 08/15/2024,41.88657333,-87.65840933,148.700,1.7,1.4,3D,Yes,1.835,1.988,2.705,,,1.0,,No,15,0
68,18:23:58.000 08/15/2024,41.88657433,-87.65839633,148.800,1.7,1.4,3D,Yes,1.868,1.993,2.732,,,1.0,,No,15,0
69,18:23:59.000 08/15/2024,41.88657667,-87.65838317,148.800,1.7,1.4,3D,Yes,1.901,1.995,2.756,,,1.0,,No,15,0
70,18:24:00.000 08/15/2024,41.88657983,-87.65837033,149.000,1.7,1.4,3D,Yes,1.930,1.997,2.777,,,1.0,,No,15,0
71,18:24:01.000 08/15/2024,41.88658083,-87.65835817,149.100,1.7,1.4,3D,Yes,1.961,2.004,2.804,,,1.0,,No,15,0
72,18:24:02.000 08/15/2024,41.88658150,-87.65834533,149.300,1.8,1.5,3D,Yes,1.991,2.015,2.833,,,1.1,,No,14,0
73,18:24:03.000 08/15/2024,41.88658200,-87.65833200,149.500,1.7,1.4,3D,Yes,2.013,2.015,2.848,,,1.0,,No,15,0
74,18:24:04.000 08/15/2024,41.88658150,-87.65831850,149.600,1.7,1.4,3D,Yes,2.037,2.021,2.869,,,1.0,,No,15,0
75,18:24:05.000 08/15/2024,41.88658133,-87.65830367,149.600,1.7,1.4,3D,Yes,2.055,2.021,2.882,,,1.0,,No,15,0
76,18:24:06.000 08/15/2024,41.88658083,-87.65828817,149.600,1.7,1.4,3D,Yes,2.073,2.021,2.895,,,1.0,,No,15,0
77,18:24:07.000 08/15/2024,41.88658083,-87.65827367,149.700,1.7,1.4,3D,Yes,2.088,2.023,2.907,,,1.0,,No,15,0
78,18:24:08.000 08/15/2024,41.88658117,-87.65825967,149.600,1.7,1.4,3D,Yes,2.100,2.024,2.917,,,1.0,,No,15,0
79,18:24:09.000 08/15/2024,41.88658133,-87.65824567,149.500,1.7,1.4,3D,Yes,2.117,2.027,2.931,,,1.0,,No,15,0
80,18:24:10.000 08/15/2024,41.88658217,-87.65823267,149.500,1.8,1.4,3D,Yes,2.138,2.029,2.948,,,1.1,,No,14,0
81,18:24:11.000 08/15/2024,41.88658267,-87.65821967,149.400,1.8,1.4,3D,Yes,2.153,2.031,2.960,,,1.1,,No,14,0
82,18:24:12.000 08/15/2024,41.88658283,-87.65820633,149.400,2.1,1.7,3D,Yes,2.161,2.029,2.964,,,1.3,,No,13,0
83,18:24:13.000 08/15/2024,41.88658167,-87.65819333,149.400,2.1,1.7,3D,Yes,2.173,2.027,2.972,,,1.3,,No,13,0
84,18:24:14.000 08/15/2024,41.88658050,-87.65817983,149.400,2.1,1.7,3D,Yes,2.183,2.028,2.980,,,1.3,,No,13,0
85,18:24:15.000 08/15/2024,41.88658100,-87.65816583,149.300,2.1,1.7,3D,Yes,2.198,2.030,2.992,,,1.3,,No,13,0
86,18:24:16.000 08/15/2024,41.88658233,-87.65815133,149.300,2.1,1.7,3D,Yes,2.211,2.031,3.002,,,1.3,,No,13,0
87,18:24:17.000 08/15/2024,41.88658383,-87.65813700,149.400,2.1,1.7,3D,Yes,2.228,2.030,3.014,,,1.3,,No,13,0
88,18:24:18.000 08/15/2024,41.88658633,-87.65812383,149.500,1.8,1.2,3D,Yes,2.243,2.035,3.029,,,1.3,,No,14,0
89,18:24:19.000 08/15/2024,41.88658867,-87.65811133,149.400,1.8,1.2,3D,Yes,2.265,2.048,3.054,,,1.3,,No,14,0
90,18:24:20.000 08/15/2024,41.88659083,-87.65809917,149.400,1.5,1.1,3D,Yes,2.291,2.059,3.080,,,1.1,,No,15,0
91,18:24:21.000 08/15/2024,41.88659183,-87.65808617,149.300,1.5,1.1,3D,Yes,2.310,2.062,3.096,,,1.1,,No,15,0
92,18:24:22.000 08/15/2024,41.88659200,-87.65807233,149.400,1.5,1.1,3D,Yes,2.321,2.061,3.104,,,1.1,,No,15,0
93,18:24:23.000 08/15/2024,41.88659183,-87.65805883,149.300,1.8,1.2,3D,Yes,2.323,2.063,3.107,,,1.3,,No,14,0
94,18:24:24.000 08/15/2024,41.88659183,-87.65804500,149.300,1.7,1.1,3D,Yes,2.329,2.071,3.117,,,1.3,,No,15,0
95,18:24:25.000 08/15/2024,41.88659117,-87.65803133,149.100,1.7,1.1,3D,Yes,2.334,2.072,3.121,,,1.3,,No,15,0
96,18:24:26.000 08/15/2024,41.88659250,-87.65801833,149.200,1.6,1.0,3D,Yes,2.337,2.079,3.128,,,1.3,,No,15,0
97,18:24:27.000 08/15/2024,41.88659267,-87.65800467,149.200,1.6,1.0,3D,Yes,2.314,2.085,3.115,,,1.3,,No,16,0
98,18:24:28.000 08/15/2024,41.88659317,-87.65799117,149.200,1.6,1.0,3D,Yes,2.301,2.095,3.112,,,1.3,,No,16,0
99,18:24:29.000 08/15/2024,41.88659367,-87.65797817,149.200,1.4,0.9,3D,Yes,2.295,2.103,3.113,,,1.0,,No,17,0
100,18:24:30.000 08/15/2024,41.88659450,-87.65796600,149.100,1.4,0.9,3D,Yes,2.293,2.105,3.113,,,1.0,,No,17,0
101,18:24:31.000 08/15/2024,41.88659550,-87.65795233,149.100,1.6,1.0,3D,Yes,2.285,2.103,3.105,,,1.3,,No,16,0
102,18:24:32.000 08/15/2024,41.88659567,-87.65793833,149.100,1.6,1.0,3D,Yes,2.279,2.103,3.101,,,1.3,,No,16,0
103,18:24:33.000 08/15/2024,41.88659483,-87.65792483,149.000,1.6,1.0,3D,Yes,2.274,2.109,3.101,,,1.3,,No,16,0
104,18:24:34.000 08/15/2024,41.88659333,-87.65791067,148.900,1.6,1.0,3D,Yes,2.261,2.113,3.095,,,1.3,,No,16,0
105,18:24:35.000 08/15/2024,41.88659217,-87.65789700,148.900,1.6,1.0,3D,Yes,2.234,2.118,3.078,,,1.3,,No,16,0
106,18:24:36.000 08/15/2024,41.88659033,-87.65788233,148.800,1.6,1.0,3D,Yes,2.196,2.125,3.056,,,1.3,,No,16,0
107,18:24:37.000 08/15/2024,41.88658933,-87.65786700,148.900,1.6,1.0,3D,Yes,2.160,2.134,3.036,,,1.3,,No,16,0
108,18:24:38.000 08/15/2024,41.88658850,-87.65785117,148.900,1.6,1.0,3D,Yes,2.122,2.143,3.016,,,1.3,,No,16,0
109,18:24:39.000 08/15/2024,41.88658800,-87.65783517,148.900,1.6,1.0,3D,Yes,2.062,2.153,2.981,,,1.3,,No,16,0
110,18:24:40.000 08/15/2024,41.88658783,-87.65781933,148.900,1.6,0.8,3D,Yes,2.006,2.159,2.947,,,1.3,,No,16,0
111,18:24:41.000 08/15/2024,41.88658833,-87.65780317,148.700,1.5,0.8,3D,Yes,1.951,2.163,2.913,,,1.3,,No,17,0
112,18:24:42.000 08/15/2024,41.88658850,-87.65778783,148.600,1.5,0.8,3D,Yes,1.908,2.168,2.888,,,1.3,,No,17,0
113,18:24:43.000 08/15/2024,41.88658933,-87.65777350,148.700,1.5,0.8,3D,Yes,1.856,2.165,2.852,,,1.3,,No,17,0
114,18:24:44.000 08/15/2024,41.88658983,-87.65776033,148.800,1.5,0.7,3D,Yes,1.814,2.163,2.823,,,1.3,,No,18,0
115,18:24:45.000 08/15/2024,41.88658950,-87.65774750,148.900,1.5,0.7,3D,Yes,1.779,2.161,2.799,,,1.3,,No,18,0
116,18:24:46.000 08/15/2024,41.88658850,-87.65773383,149.000,1.5,0.7,3D,Yes,1.747,2.160,2.778,,,1.3,,No,18,0
117,18:24:47.000 08/15/2024,41.88658750,-87.65771967,149.000,1.5,0.7,3D,Yes,1.716,2.157,2.756,,,1.3,,No,18,0
118,18:24:48.000 08/15/2024,41.88658700,-87.65770567,148.900,1.5,0.7,3D,Yes,1.685,2.154,2.735,,,1.3,,No,18,0
119,18:24:49.000 08/15/2024,41.88658700,-87.65769150,148.900,1.5,0.7,3D,Yes,1.661,2.155,2.721,,,1.3,,No,19,0
120,18:24:50.000 08/15/2024,41.88658683,-87.65767717,149.000,1.3,0.7,3D,Yes,1.631,2.155,2.703,,,1.1,,No,19,0
121,18:24:51.000 08/15/2024,41.88658633,-87.65766283,149.000,1.5,0.7,3D,Yes,1.604,2.158,2.689,,,1.3,,No,19,0
122,18:24:52.000 08/15/2024,41.88658633,-87.65764917,149.000,1.5,0.7,3D,Yes,1.580,2.161,2.677,,,1.3,,No,19,0
123,18:24:53.000 08/15/2024,41.88658683,-87.65763550,148.900,1.5,0.7,3D,Yes,1.558,2.161,2.664,,,1.3,,No,19,0
124,18:24:54.000 08/15/2024,41.88658817,-87.65762133,148.900,1.5,0.8,3D,Yes,1.536,2.161,2.651,,,1.3,,No,18,0
125,18:24:55.000 08/15/2024,41.88658933,-87.65760717,149.000,1.5,0.7,3D,Yes,1.513,2.161,2.638,,,1.3,,No,18,0
126,18:24:56.000 08/15/2024,41.88658967,-87.65759300,149.100,1.5,0.7,3D,Yes,1.494,2.162,2.628,,,1.3,,No,19,0
127,18:24:57.000 08/15/2024,41.88658900,-87.65757900,149.100,1.5,0.7,3D,Yes,1.474,2.161,2.616,,,1.3,,No,19,0
128,18:24:58.000 08/15/2024,41.88658817,-87.65756533,149.000,1.5,0.7,3D,Yes,1.456,2.161,2.606,,,1.3,,No,18,0
129,18:24:59.000 08/15/2024,41.88658767,-87.65755117,149.000,1.5,0.7,3D,Yes,1.439,2.162,2.597,,,1.3,,No,18,0
130,18:25:00.000 08/15/2024,41.88658767,-87.65753733,149.100,1.5,0.7,3D,Yes,1.424,2.165,2.591,,,1.3,,No,18,0
131,18:25:01.000 08/15/2024,41.88658750,-87.65752350,149.100,1.5,0.7,3D,Yes,1.411,2.165,2.584,,,1.3,,No,18,0
132,18:25:02.000 08/15/2024,41.88658750,-87.65750950,149.000,1.5,0.7,3D,Yes,1.399,2.164,2.577,,,1.3,,No,18,0
133,18:25:03.000 08/15/2024,41.88658783,-87.65749533,148.900,1.5,0.8,3D,Yes,1.389,2.159,2.567,,,1.3,,No,18,0
134,18:25:04.000 08/15/2024,41.88658883,-87.65748133,148.900,1.5,0.7,3D,Yes,1.380,2.152,2.556,,,1.3,,No,19,0
135,18:25:05.000 08/15/2024,41.88658950,-87.65746767,149.000,1.5,0.7,3D,Yes,1.371,2.146,2.547,,,1.3,,No,19,0
136,18:25:06.000 08/15/2024,41.88658967,-87.65745367,149.100,1.5,0.7,3D,Yes,1.362,2.143,2.539,,,1.3,,No,19,0
137,18:25:07.000 08/15/2024,41.88658933,-87.65744000,149.100,1.5,0.7,3D,Yes,1.354,2.140,2.532,,,1.3,,No,19,0
138,18:25:08.000 08/15/2024,41.88658917,-87.65742667,149.000,1.3,0.7,3D,Yes,1.344,2.134,2.522,,,1.1,,No,21,0
139,18:25:09.000 08/15/2024,41.88658933,-87.65741367,149.000,1.4,0.7,3D,Yes,1.334,2.131,2.514,,,1.2,,No,20,0
140,18:25:10.000 08/15/2024,41.88658967,-87.65740033,149.000,1.4,0.7,3D,Yes,1.327,2.131,2.510,,,1.2,,No,20,0
141,18:25:11.000 08/15/2024,41.88659017,-87.65738667,149.000,1.4,0.7,3D,Yes,1.319,2.130,2.505,,,1.2,,No,20,0
142,18:25:12.000 08/15/2024,41.88659083,-87.65737367,149.000,1.4,0.7,3D,Yes,1.312,2.128,2.500,,,1.2,,No,20,0
143,18:25:13.000 08/15/2024,41.88659167,-87.65736050,148.900,1.4,0.7,3D,Yes,1.306,2.125,2.494,,,1.2,,No,20,0
144,18:25:14.000 08/15/2024,41.88659267,-87.65734650,148.900,1.4,0.7,3D,Yes,1.300,2.125,2.491,,,1.2,,No,20,0
145,18:25:15.000 08/15/2024,41.88659333,-87.65733200,149.000,1.4,0.7,3D,Yes,1.294,2.124,2.487,,,1.2,,No,20,0
146,18:25:16.000 08/15/2024,41.88659383,-87.65731767,149.100,1.3,0.7,3D,Yes,1.288,2.122,2.482,,,1.1,,No,21,0
147,18:25:17.000 08/15/2024,41.88659400,-87.65730367,149.100,1.3,0.7,3D,Yes,1.283,2.120,2.478,,,1.1,,No,21,0
148,18:25:18.000 08/15/2024,41.88659350,-87.65728983,149.000,1.3,0.7,3D,Yes,1.277,2.117,2.472,,,1.1,,No,21,0
149,18:25:19.000 08/15/2024,41.88659333,-87.65727633,149.000,1.4,0.7,3D,Yes,1.272,2.115,2.468,,,1.2,,No,20,0
150,18:25:20.000 08/15/2024,41.88659367,-87.65726217,149.000,1.4,0.7,3D,Yes,1.266,2.111,2.462,,,1.2,,No,20,0
151,18:25:21.000 08/15/2024,41.88659417,-87.65724767,149.100,1.4,0.7,3D,Yes,1.259,2.108,2.455,,,1.2,,No,20,0
152,18:25:22.000 08/15/2024,41.88659483,-87.65723317,149.100,1.2,0.7,3D,Yes,1.252,2.104,2.448,,,1.1,,No,20,0
153,18:25:23.000 08/15/2024,41.88659567,-87.65721850,149.000,1.2,0.7,3D,Yes,1.244,2.100,2.441,,,1.1,,No,20,0
154,18:25:24.000 08/15/2024,41.88659667,-87.65720350,148.900,1.2,0.7,3D,Yes,1.238,2.097,2.435,,,1.1,,No,20,0
155,18:25:25.000 08/15/2024,41.88659700,-87.65718883,148.900,1.2,0.7,3D,Yes,1.232,2.093,2.429,,,1.1,,No,20,0
156,18:25:26.000 08/15/2024,41.88659717,-87.65717400,148.900,1.2,0.7,3D,Yes,1.226,2.086,2.420,,,1.1,,No,20,0
157,18:25:27.000 08/15/2024,41.88659700,-87.65715933,149.000,1.2,0.7,3D,Yes,1.219,2.078,2.409,,,1.1,,No,20,0
158,18:25:28.000 08/15/2024,41.88659583,-87.65714533,149.000,1.2,0.7,3D,Yes,1.212,2.069,2.398,,,1.1,,No,20,0
159,18:25:29.000 08/15/2024,41.88659450,-87.65713133,149.000,1.2,0.7,3D,Yes,1.199,2.054,2.378,,,1.1,,No,21,0
160,18:25:30.000 08/15/2024,41.88659333,-87.65711767,148.900,1.2,0.7,3D,Yes,1.185,2.036,2.356,,,1.1,,No,21,0
161,18:25:31.000 08/15/2024,41.88659233,-87.65710433,148.800,1.2,0.7,3D,Yes,1.173,2.019,2.335,,,1.1,,No,21,0
162,18:25:32.000 08/15/2024,41.88659150,-87.65708967,148.800,1.2,0.7,3D,Yes,1.161,2.004,2.316,,,1.1,,No,21,0
163,18:25:33.000 08/15/2024,41.88659117,-87.65707417,148.800,1.2,0.7,3D,Yes,1.154,1.993,2.303,,,1.1,,No,21,0
164,18:25:34.000 08/15/2024,41.88659117,-87.65705933,148.900,1.2,0.6,3D,Yes,1.145,1.979,2.286,,,1.0,,No,22,0
165,18:25:35.000 08/15/2024,41.88659150,-87.65704500,149.000,1.2,0.6,3D,Yes,1.137,1.968,2.273,,,1.0,,No,22,0
166,18:25:36.000 08/15/2024,41.88659183,-87.65703033,148.900,1.2,0.6,3D,Yes,1.129,1.955,2.258,,,1.0,,No,22,0
167,18:25:37.000 08/15/2024,41.88659283,-87.65701567,148.800,1.2,0.6,3D,Yes,1.119,1.940,2.240,,,1.0,,No,22,0
168,18:25:38.000 08/15/2024,41.88659417,-87.65700150,148.700,1.2,0.6,3D,Yes,1.111,1.927,2.224,,,1.0,,No,22,0
169,18:25:39.000 08/15/2024,41.88659500,-87.65698750,148.700,1.2,0.6,3D,Yes,1.103,1.915,2.210,,,1.0,,No,22,0
170,18:25:40.000 08/15/2024,41.88659550,-87.65697333,148.700,1.2,0.6,3D,Yes,1.095,1.904,2.196,,,1.0,,No,22,0
171,18:25:41.000 08/15/2024,41.88659583,-87.65695967,148.700,1.2,0.6,3D,Yes,1.089,1.895,2.186,,,1.0,,No,22,0
172,18:25:42.000 08/15/2024,41.88659633,-87.65694667,148.600,1.2,0.6,3D,Yes,1.082,1.886,2.174,,,1.0,,No,22,0
173,18:25:43.000 08/15/2024,41.88659750,-87.65693383,148.500,1.2,0.6,3D,Yes,1.077,1.878,2.165,,,1.0,,No,22,0
174,18:25:44.000 08/15/2024,41.88659900,-87.65692017,148.400,1.2,0.6,3D,Yes,1.071,1.872,2.157,,,1.0,,No,22,0
175,18:25:45.000 08/15/2024,41.88660083,-87.65690583,148.300,1.3,0.7,3D,Yes,1.068,1.867,2.151,,,1.1,,No,21,0
176,18:25:46.000 08/15/2024,41.88660300,-87.65689117,148.200,1.3,0.7,3D,Yes,1.063,1.861,2.143,,,1.1,,No,21,0
177,18:25:47.000 08/15/2024,41.88660383,-87.65687633,148.100,1.3,0.7,3D,Yes,1.058,1.855,2.136,,,1.1,,No,21,0
178,18:25:48.000 08/15/2024,41.88660333,-87.65686150,148.000,1.3,0.7,3D,Yes,1.055,1.851,2.131,,,1.1,,No,21,0
179,18:25:49.000 08/15/2024,41.88660317,-87.65684567,148.000,1.2,0.6,3D,Yes,1.053,1.847,2.126,,,1.0,,No,22,0
180,18:25:50.000 08/15/2024,41.88660283,-87.65683033,148.000,1.2,0.6,3D,Yes,1.050,1.844,2.122,,,1.0,,No,22,0
181,18:25:51.000 08/15/2024,41.88660233,-87.65681567,148.000,1.2,0.6,3D,Yes,1.049,1.843,2.121,,,1.0,,No,22,0
182,18:25:52.000 08/15/2024,41.88660200,-87.65680067,148.000,1.2,0.6,3D,Yes,1.047,1.844,2.121,,,1.0,,No,22,0
183,18:25:53.000 08/15/2024,41.88660133,-87.65678550,148.000,1.2,0.6,3D,Yes,1.045,1.840,2.116,,,1.0,,No,22,0
184,18:25:54.000 08/15/2024,41.88660100,-87.65677100,147.900,1.2,0.6,3D,Yes,1.043,1.833,2.109,,,1.0,,No,22,0
185,18:25:55.000 08/15/2024,41.88660067,-87.65675650,147.800,1.2,0.6,3D,Yes,1.040,1.827,2.102,,,1.0,,No,22,0
